id,focus,signal,slack,drag,confidence,score,lane
l001,dirty state,35,33,6,25,226,ship
l002,guard slack,35,34,6,55,288,ship
l003,layout drift,35,35,6,85,350,ship
l004,allocation pressure,35,36,18,25,172,ship
l005,dirty state,35,37,18,55,234,ship
l006,guard slack,35,38,18,85,296,ship
l007,layout drift,35,39,34,25,98,hold
l008,allocation pressure,35,40,34,55,160,watch
l009,dirty state,35,41,34,85,222,ship
l010,guard slack,60,42,6,25,344,ship
l011,layout drift,60,43,6,55,406,ship
l012,allocation pressure,60,44,6,85,468,ship
l013,dirty state,60,45,18,25,290,ship
l014,guard slack,60,46,18,55,352,ship
l015,layout drift,60,47,18,85,414,ship
l016,allocation pressure,60,48,34,25,216,ship
l017,dirty state,60,32,34,55,244,ship
l018,guard slack,60,33,34,85,306,ship
l019,layout drift,85,34,6,25,428,ship
l020,allocation pressure,85,35,6,55,490,ship
l021,dirty state,85,36,6,85,552,ship
l022,guard slack,85,37,18,25,374,ship
l023,layout drift,85,38,18,55,436,ship
l024,allocation pressure,85,39,18,85,498,ship
l025,dirty state,85,40,34,25,300,ship
l026,guard slack,85,41,34,55,362,ship
l027,layout drift,85,42,34,85,424,ship
