id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,allocation pressure,70,13,12,22,290,ship,baseline,monotonic-signal
g002,dirty state,101,15,11,30,439,ship,edge,drag-penalty
g003,guard slack,32,54,12,102,380,ship,recovery,confidence-floor
g004,layout drift,89,76,35,79,491,ship,negative,lane-boundary
g005,allocation pressure,77,19,27,72,355,ship,baseline,monotonic-signal
g006,dirty state,74,63,24,73,448,ship,edge,drag-penalty
g007,guard slack,76,18,24,35,290,ship,recovery,confidence-floor
g008,layout drift,37,33,26,20,124,watch,negative,lane-boundary
g009,allocation pressure,65,8,28,60,256,ship,baseline,monotonic-signal
g010,dirty state,38,33,10,85,338,ship,edge,drag-penalty
g011,guard slack,116,13,44,59,388,ship,recovery,confidence-floor
g012,layout drift,115,40,21,50,535,ship,negative,lane-boundary
g013,allocation pressure,74,56,20,50,408,ship,baseline,monotonic-signal
g014,dirty state,101,32,33,55,413,ship,edge,drag-penalty
g015,guard slack,30,22,20,62,188,ship,recovery,confidence-floor
g016,layout drift,42,20,15,27,187,ship,negative,lane-boundary
g017,allocation pressure,51,56,35,100,341,ship,baseline,monotonic-signal
g018,dirty state,103,77,4,98,742,ship,edge,drag-penalty
g019,guard slack,89,55,32,101,508,ship,recovery,confidence-floor
g020,layout drift,85,11,27,21,269,ship,negative,lane-boundary
g021,allocation pressure,43,27,5,29,259,ship,baseline,monotonic-signal
g022,dirty state,69,37,16,101,472,ship,edge,drag-penalty
g023,guard slack,42,45,44,78,194,ship,recovery,confidence-floor
g024,layout drift,76,51,39,71,353,ship,negative,lane-boundary
g025,allocation pressure,96,24,38,72,386,ship,baseline,monotonic-signal
g026,dirty state,66,11,39,34,159,watch,edge,drag-penalty
g027,guard slack,54,42,20,105,410,ship,recovery,confidence-floor
g028,layout drift,52,25,12,59,316,ship,negative,lane-boundary
g029,allocation pressure,98,19,9,84,553,ship,baseline,monotonic-signal
g030,dirty state,81,18,9,58,431,ship,edge,drag-penalty
g031,guard slack,32,20,11,49,211,ship,recovery,confidence-floor
g032,layout drift,111,59,13,49,595,ship,negative,lane-boundary
g033,allocation pressure,54,11,37,54,161,watch,baseline,monotonic-signal
g034,dirty state,73,24,29,61,317,ship,edge,drag-penalty
g035,guard slack,42,68,6,26,326,ship,recovery,confidence-floor
g036,layout drift,30,23,5,99,339,ship,negative,lane-boundary
g037,allocation pressure,115,38,18,97,640,ship,baseline,monotonic-signal
g038,dirty state,117,13,5,100,669,ship,edge,drag-penalty
g039,guard slack,78,38,42,20,218,ship,recovery,confidence-floor
g040,layout drift,106,18,20,28,416,ship,negative,lane-boundary
g041,allocation pressure,79,45,31,100,451,ship,baseline,monotonic-signal
g042,dirty state,69,61,17,77,467,ship,edge,drag-penalty
g043,guard slack,68,37,12,70,426,ship,recovery,confidence-floor
g044,layout drift,115,27,32,71,496,ship,negative,lane-boundary
g045,allocation pressure,54,25,43,33,117,watch,baseline,monotonic-signal
g046,dirty state,71,61,29,104,469,ship,edge,drag-penalty
g047,guard slack,83,12,24,58,352,ship,recovery,confidence-floor
g048,layout drift,92,60,23,83,539,ship,negative,lane-boundary
g049,allocation pressure,56,16,24,57,250,ship,baseline,monotonic-signal
g050,dirty state,42,32,5,48,303,ship,edge,drag-penalty
g051,guard slack,38,42,39,48,137,watch,recovery,confidence-floor
g052,layout drift,84,50,36,53,362,ship,negative,lane-boundary
g053,allocation pressure,110,56,36,60,492,ship,baseline,monotonic-signal
g054,dirty state,83,29,38,25,250,ship,edge,drag-penalty
g055,guard slack,117,16,40,98,496,ship,recovery,confidence-floor
g056,layout drift,49,47,22,96,372,ship,negative,lane-boundary
g057,allocation pressure,107,30,14,99,616,ship,baseline,monotonic-signal
g058,dirty state,95,24,33,105,473,ship,edge,drag-penalty
g059,guard slack,93,23,32,27,312,ship,recovery,confidence-floor
g060,layout drift,51,25,45,99,227,ship,negative,lane-boundary
g061,allocation pressure,34,64,32,76,256,ship,baseline,monotonic-signal
g062,dirty state,73,16,27,69,327,ship,edge,drag-penalty
g063,guard slack,64,29,5,70,429,ship,recovery,confidence-floor
g064,layout drift,95,73,16,32,510,ship,negative,lane-boundary
g065,allocation pressure,114,28,44,103,498,ship,baseline,monotonic-signal
g066,dirty state,83,43,39,57,337,ship,edge,drag-penalty
g067,guard slack,71,18,17,82,399,ship,recovery,confidence-floor
g068,layout drift,68,43,28,56,330,ship,negative,lane-boundary
g069,allocation pressure,70,23,14,47,350,ship,baseline,monotonic-signal
g070,dirty state,31,50,9,47,273,ship,edge,drag-penalty
g071,guard slack,59,66,8,52,432,ship,recovery,confidence-floor
g072,layout drift,32,42,9,59,285,ship,negative,lane-boundary
g073,allocation pressure,110,32,32,24,392,ship,baseline,monotonic-signal
g074,dirty state,109,30,24,97,570,ship,edge,drag-penalty
g075,guard slack,68,66,21,95,489,ship,recovery,confidence-floor
g076,layout drift,95,17,21,98,505,ship,negative,lane-boundary
g077,allocation pressure,112,65,23,104,671,ship,baseline,monotonic-signal
g078,dirty state,36,21,25,26,113,watch,edge,drag-penalty
g079,guard slack,45,37,7,98,415,ship,recovery,confidence-floor
g080,layout drift,97,47,41,75,427,ship,negative,lane-boundary
g081,allocation pressure,83,55,18,68,488,ship,baseline,monotonic-signal
g082,dirty state,79,61,17,69,491,ship,edge,drag-penalty
g083,guard slack,37,34,30,31,128,watch,recovery,confidence-floor
g084,layout drift,63,21,17,102,413,ship,negative,lane-boundary
g085,allocation pressure,36,52,12,56,300,ship,baseline,monotonic-signal
g086,dirty state,70,35,32,81,352,ship,edge,drag-penalty
g087,guard slack,90,29,43,55,313,ship,recovery,confidence-floor
g088,layout drift,60,28,29,46,243,ship,negative,lane-boundary
g089,allocation pressure,48,30,24,46,224,ship,baseline,monotonic-signal
g090,dirty state,46,69,44,51,204,ship,edge,drag-penalty
g091,guard slack,92,21,13,58,461,ship,recovery,confidence-floor
g092,layout drift,75,34,41,23,209,ship,negative,lane-boundary
g093,allocation pressure,114,8,36,96,484,ship,baseline,monotonic-signal
g094,dirty state,105,33,35,94,499,ship,edge,drag-penalty
g095,guard slack,48,48,36,97,302,ship,recovery,confidence-floor
g096,layout drift,67,23,17,103,435,ship,negative,lane-boundary
